lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
MN,"Washington County, Minnesota",Washington County, Minnesota,97059,3.1,1.8,4.4,4.4,7.5,14.5,13.9,23.3,12.5,14.6,100596
MN,"Wright County, Minnesota",Wright County, Minnesota,49443,2.9,2.6,3.5,3.8,9.9,17.1,14.8,25.9,12.5,7.1,91707
MS,"DeSoto County, Mississippi",DeSoto County, Mississippi,65220,2.5,2.8,8.3,8.6,13.1,20.2,16,16.6,7.8,4,66078
MS,"Forrest County, Mississippi",Forrest County, Mississippi,27340,9.5,8.7,11.4,15.7,15.9,19,6.5,7.5,2.9,3,39063
MS,"Harrison County, Mississippi",Harrison County, Mississippi,74628,8.4,4.6,13.4,11.1,12.4,18.9,10.7,13.7,3.8,3.1,50119
MS,"Hinds County, Mississippi",Hinds County, Mississippi,88471,9.1,5.7,13.7,9.9,15.5,20.5,9.8,9.6,3.5,2.8,44964
MS,"Jackson County, Mississippi",Jackson County, Mississippi,56323,3.7,4.6,10,13.5,15.1,16.9,14.1,13.3,4.5,4.1,52476
MS,"Jones County, Mississippi",Jones County, Mississippi,24178,10.5,5.5,19.6,10.5,11.8,19.4,6.4,10.1,3.2,2.9,37594
MS,"Lauderdale County, Mississippi",Lauderdale County, Mississippi,29367,12.2,7.9,15.9,12.2,11.3,15.7,9.4,10.8,1.5,3.1,37497
MS,"Lee County, Mississippi",Lee County, Mississippi,30378,6.2,5.3,11.4,11.2,16.2,16.9,12.6,10,4.3,5.9,49715
MS,"Madison County, Mississippi",Madison County, Mississippi,40046,3.9,1.5,9.5,9.4,14,15.2,11.9,15.7,10.9,8,68171
MS,"Rankin County, Mississippi",Rankin County, Mississippi,57011,3.3,3.2,9.1,8.3,10.3,22.4,14.6,17,6.7,5,67012
MO,"Boone County, Missouri",Boone County, Missouri,70721,8.4,3.6,9.6,8.7,13.7,16.7,14.1,13.5,5.1,6.6,57013
