LST,Geographic_Area_Name,County,STATE,id,Estimate_Households_Total,"Estimate_Households_Total_Less_than_10,000","Estimate_Households_Total_$10,000_to_$14,999","Estimate_Households_Total_$15,000_to_$24,999","Estimate_Households_Total_$25,000_to_$34,999","Estimate_Households_Total_$35,000_to_$49,999","Estimate_Households_Total_$50,000_to_74,999","Estimate_Households_Total_$75,000_to_$99,999","Estimate_Households_Total_$100,000_to_$149,999","Estimate_Households_Total_$150,000_to_$199,999","Estimate_Households_Total_$200,000_or_more",EstimateHouseholds!!Median_income_(dollars),Estimate_Families_Total,"Estimate_Families_Total_Less_than_$10,000","Estimate_Families_Total_$10,000_to_$14,999","Estimate_Families_Total_$15,000_to_$24,999","Estimate_Families_Total_$25,000_to_$34,999","Estimate_Families_Total_$200,000_or_more",EstimateFamilies!!Median income (dollars),Estimate_Families_Mean_income_$,EstimateFamiliesPERCENT_ALLOCATEDFamily_income_in_the_past_12_months
NY,"Oneida County, New York",Oneida County, New York,0500000US36065,90273,4.7,5.7,10.7,8.2,13.9,18.5,12.9,14.3,6.8,4.3,57391,54481,3.6,3.5,6.1,6.1,6.1,74515,90465,40.7
NY,"Onondaga County, New York",Onondaga County, New York,0500000US36067,183218,8.1,4.3,8.4,7.3,13.1,17.5,13.1,15.2,6.1,6.8,61577,106955,5.3,1.9,5.1,5.4,10.3,84681,106090,36.1
NY,"Ontario County, New York",Ontario County, New York,0500000US36069,46025,4.8,3.4,6.3,8.2,10.4,21.8,13.5,16,7.7,7.9,66568,28268,2.1,1.6,3.4,4.7,11.4,84200,113305,30.9
NY,"Orange County, New York",Orange County, New York,0500000US36071,131421,5,4,7.6,4.4,9.4,13.7,14,20.1,10.2,11.4,84458,92249,2.8,2.4,5.9,3.9,13.9,100230,120446,42.9
NY,"Oswego County, New York",Oswego County, New York,0500000US36075,46640,4.1,5.9,11.1,8.4,12.8,18.3,14.7,17,4.4,3.4,58459,29110,4.3,3.9,6.1,7,4.3,71749,83993,33.3
NY,"Putnam County, New York",Putnam County, New York,0500000US36079,34470,2.2,1.1,3.3,5.4,6.9,10.5,16.2,24.6,12.6,17.2,106204,24725,0.7,0.5,0.3,3,20.6,121505,147160,46.1
NY,"Queens County, New York",Queens County, New York,0500000US36081,784552,5.6,3.7,6.6,7.9,10.5,16.3,12.9,17.8,9.5,9.3,73696,530505,3,2.1,5.4,7.3,11.1,82534,105587,51.2
NY,"Rensselaer County, New York",Rensselaer County, New York,0500000US36083,65790,5.5,3.3,6.9,8.8,11.3,16.5,14.4,18.4,9.8,5.1,71574,41217,3.4,2.4,3.1,7.5,7.2,85996,100126,35.3
NY,"Richmond County, New York",Richmond County, New York,0500000US36085,166297,3.9,3.3,5.9,5.6,10.4,14.7,10.1,21,11.3,13.8,89821,120238,1.3,2.1,4.3,3.5,16.9,105438,129701,56
NY,"Rockland County, New York",Rockland County, New York,0500000US36087,101424,3.5,3,5.9,4.6,8.6,12.7,11,20.9,10.9,18.9,100916,77059,1.5,2.2,3.8,4,21.8,116404,151498,46
NY,"St. Lawrence County, New York",St. Lawrence County, New York,0500000US36089,42832,8.5,6.9,10.7,10.7,12,15.3,12.2,15.1,5.5,3.1,52108,27209,6,4.1,8.7,6.6,4.4,65685,81569,38.1
NY,"Saratoga County, New York",Saratoga County, New York,0500000US36091,93547,2,3.3,5.1,6.6,10.7,15.5,12.5,21,13.1,10.1,89932,62501,1.4,0.9,1.9,5.6,13.8,111280,125826,26.9
NY,"Schenectady County, New York",Schenectady County, New York,0500000US36093,62534,4.4,4.4,7.3,9.3,11.4,18.7,11.3,19.4,7.2,6.6,65773,39331,4.4,3,6.4,6.8,9,85160,99153,41.7
NY,"Steuben County, New York",Steuben County, New York,0500000US36101,39283,6.2,5.1,12.6,10.5,12.5,17.7,11.7,17,3.2,3.5,52951,23779,2,2.6,10.5,7.5,4.7,71759,86983,32.5
NY,"Suffolk County, New York",Suffolk County, New York,0500000US36103,499744,2.9,1.9,4.5,4.7,7.5,13.1,12,21.1,13.3,18.9,106228,359977,1.6,0.7,2.4,3.3,22.9,125309,158072,49.5
NY,"Sullivan County, New York",Sullivan County, New York,0500000US36105,28960,8.5,6,7.6,8.9,11.3,17.8,13.5,15.3,6.9,4.3,60137,16914,2.5,7.7,5,9.2,6.3,68127,85089,35.4
NY,"Tompkins County, New York",Tompkins County, New York,0500000US36109,40322,10.1,3.4,8.5,8.9,12.9,18,9.3,13.5,5.8,9.6,58626,19392,2,1.1,2.6,6.3,17.4,90192,136049,22.3
NY,"Ulster County, New York",Ulster County, New York,0500000US36111,69376,5.8,4.6,9.5,7.8,11.7,15.7,13,16.5,8.5,6.9,64087,41610,4.6,1,4.8,5.4,9.6,86335,108379,39.5
NY,"Warren County, New York",Warren County, New York,0500000US36113,29593,5.2,4.9,7.3,9.7,12.9,18.2,11.6,15.4,7.4,7.4,64985,17724,2.3,1.3,2.7,6.4,10.7,90063,104869,34.3
NY,"Wayne County, New York",Wayne County, New York,0500000US36117,36634,7.1,4.9,7.3,11.1,11.2,17.6,14.5,16.3,4.9,5.2,61730,23214,3,1.6,6.3,6.2,6.6,81192,94332,34.4
NY,"Westchester County, New York",Westchester County, New York,0500000US36119,355136,5.4,3.2,4.5,5.1,8.1,11.3,10.9,16.8,9.6,25,101908,245014,2.8,1.6,2.6,3.2,32.9,131023,197616,41.8
NC,"Alamance County, North Carolina",Alamance County, North Carolina,0500000US37001,64316,6.1,6.6,8.1,10.9,12,21.1,14.6,12,4.4,4.1,58490,41793,4.7,3.4,7.5,7.2,5.9,70332,84062,31.6
NC,"Brunswick County, North Carolina",Brunswick County, North Carolina,0500000US37019,58385,4.8,4.6,5.7,9.6,13.1,19.8,14.6,16.7,5.6,5.4,63668,39806,3.3,2,2.3,6.1,6.1,77959,96554,30.3
NC,"Buncombe County, North Carolina",Buncombe County, North Carolina,0500000US37021,106741,4,5.1,12.1,10.5,13.2,19.1,12.6,12.6,5.4,5.3,54970,63675,2.3,2.9,9.1,9.1,6.9,69181,90994,29.4
